pH_change,Turbidity_change,Bacteria_shape,Yeast_shape,Contamination
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Normal,False,True,Yeast
Normal,Increasing,True,True,Yeast
Normal,Increasing,True,True,Bacteria
Normal,Increasing,True,True,Yeast
Normal,Increasing,True,True,Bacteria
Normal,Increasing,False,False,Yeast
Normal,Increasing,False,False,Bacteria
Normal,Increasing,False,False,Yeast
Normal,Increasing,False,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Normal,Increasing,False,True,Yeast
Normal,Increasing,True,False,Bacteria
Increasing,Normal,True,True,Yeast
Increasing,Normal,True,True,Yeast
Increasing,Normal,True,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,False,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Normal,False,True,Yeast
Increasing,Increasing,True,True,Yeast
Increasing,Increasing,True,True,Yeast
Increasing,Increasing,True,False,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,True,Yeast
Increasing,Increasing,False,False,Yeast
Decreasing,Increasing,False,False,Bacteria
